,Title,Content,Author,Date and Time
270,NATO hints at more heavy weapons for Ukraine,"Kyiv can expect more deliveries of heavy weapons from Western countries soon, NATO said Sunday, as President Vladimir Putin praised his forces after their claimed capture of a Ukraine town. Washington meanwhile condemned the missile attack on a tower block in the eastern city of Dnipro, as the death toll rose to 30 as rescue teams kept up the search for survivors. NATO Secretary-General Jens Stoltenberg said Ukraine could expect more heavy weapons following Kyiv’s requests to its allies for the vehicles, artillery and missiles it says are key to defending itself.",AFP-JIJI,2023-01-16
272,EU parliament chief to unveil reforms amid graft scandal,"The president of the European Parliament will seek Monday to get ahead of a graft scandal that has rocked the legislature, by officially unveiling a series of reforms to clean up the multinational assembly. But many MEPs and observers believe the changes to be presented by Roberta Metsola don’t go far enough to be able to restore credibility in the institution. The parliament has been the focus of intense scrutiny since the scandal broke open a month ago with the arrest of one of Metsola’s 14 vice presidents after Belgian police raided homes and offices of several MEPs, former MEPs, parliamentary aides and heads of NGOs that dealt with lawmakers.",AFP-JIJI,2023-01-16
275,Putin buys off the poor and writes off middle class with war budget,"Alexei Malov’s dream was to own a white Lada. When his family in the Saratov region received a payment in compensation for their son’s death fighting in Ukraine, it went to buy just the car he’d wanted, according to a report aired on Russian state television last year. The father then goes to take it for the first drive — to the cemetery.",Bloomberg,2023-01-16
276,The drug mules carrying Europe's cocaine in their guts,"More than a sixth of the cocaine consumed in France is smuggled inside the bodies of drug mules from its poverty-stricken South American region of Guiana. Women — some of them pregnant — and even children are among those who risk their lives for a few thousand euros by swallowing tightly wrapped packages of the drug, or hiding them in their body cavities. “I had no other option. I needed the money,” said 27-year-old Tonio, who — weighed down with debt and with no work — took a flight to Paris with 800 grams of “coke” in his stomach and hidden in his shoes.",AFP-JIJI,2023-01-16
274,The German town at the heart of a debate over coal and climate,"The protest started cheerfully enough on Wednesday, with music blaring and flags flying even under the driving rain. Then the police arrived, decked out in riot gear and backed by bulldozers, ready to demolish the village of Luetzerath to make way for the expansion of an opencast coal mine in the heart of Europe. As Germany turns back to the dirtiest fossil fuel to counter a global energy crisis triggered by Russia’s invasion of Ukraine, this desolate settlement of drab brick houses and muddy fields has found itself at the center of a broader debate about the future of the continent’s energy security — and its consequences for a warming planet. A few houses are all that remain of Luetzerath, a hamlet in Germany’s industrial powerhouse of North Rhine-Westphalia, where mining has deep roots and still provides thousands of jobs. Its original residents have long since been relocated, but as many as 300 activists moved in about two years ago to block a decades-old plan to expand mining operations in the area.","Josefine Fokuhl, Vanessa Dezem, Bloomberg",2023-01-16
256,Brazil's crowdfunded insurrection leaves paper trail for police,"With a Brazil flag draped around his neck and his feet propped up on a dark wooden table, Samuel Faria leaned back in the Brazilian Senate president’s ceremonial chair which he had just commandeered and surveyed the chaos on the lawn outside. “It’s kicking off out there,” he said, watching from his Senate perch as fellow yellow-and-green clad supporters of former Brazilian President Jair Bolsonaro ransacked government buildings in Brasilia on Jan. 8. He then thanked his patrons. “I’ve got money in the bank,” he said, as he livestreamed Brazil’s worst political crisis in a generation. “Thanks to you dear patriots … who helped us, lots of friends sponsoring us with Pix.”","Gabriel Stargardter, Marcela Ayres, REUTERS",2023-01-17
258,Vietnam president quits as Communist Party intensifies graft crackdown,"Vietnamese President Nguyen Xuan Phuc has resigned after the ruling Communist Party blamed him for “violations and wrongdoing” by officials under his control, the government said on Tuesday, in a major escalation of the country’s anti-graft campaign. Phuc, a former prime minister widely credited with accelerating pro-business reforms, held the largely ceremonial post of president since 2021 and is the highest-ranking official targeted by the party’s sweeping corruption crackdown. Vietnam has no paramount ruler and is officially led by four “pillars”: the party’s secretary, the president, prime minister and speaker of the house.",Reuters,2023-01-17
262,Scientists use laser to guide lightning bolt for first time,"Scientists said Monday that they have used a laser beam to guide lightning for the first time, hoping the technique will help protect against deadly bolts — and one day maybe even trigger them. Lightning strikes between 40 to 120 times a second worldwide, killing more than 4,000 people and causing billions of dollars worth of damage every year. Yet the main protection against these bolts from above is still the humble lightning rod, which was first conceived by American polymath Benjamin Franklin in 1749.","Pierre Celerier, AFP-Jiji",2023-01-17
279,German defense minister quits at crunch moment for Ukraine aid,"German Defense Minister Christine Lambrecht resigned on Monday after months of heavy criticism over Berlin’s stuttering response to the war in Ukraine as well as a series of gaffes. Her decision came days ahead of a crucial meeting of defense ministers from Ukraine’s allies and with Berlin under intense pressure to provide battle tanks to Kyiv. Chancellor Olaf Scholz said he had a “clear idea” of who would succeed Lambrecht, adding that this would be announced “very quickly.” But government sources said no decision was expected Monday.","Femke Colborne, AFP-Jiji",2023-01-17
277,Ukraine missile toll rises to 40 as Russia denies attack,"The toll from a rose to 40 on Monday, as more bodies were pulled from the debris of one of Russia’s deadliest attacks since its invasion. Kyiv has called for more weapons to defend itself, and at the weekend received pledges of British tanks, but Russian President Vladimir Putin warned more armaments would only intensify fighting and the Kremlin vowed to burn the gear. With tensions high, a top U.S. official, Deputy Secretary of State Wendy Sherman, visited Kyiv on Monday and expressed Washington’s “steadfast commitment” to Ukraine, while discussing ways to bolster the country’s security posture with President Volodymyr Zelenskyy.","Vitalii Matokha, AFP-Jiji",2023-01-17
278,"Runaway Antarctic ice sheet collapse not 'inevitable,' study says","The runaway collapse of the West Antarctic Ice Sheet — which would trigger catastrophic sea level rise — is not “inevitable,” scientists said Monday following research that tracked the region’s recent response to climate change. As global temperatures rise, there is mounting concern that warming could trigger so-called tipping points that set off irreversible melting of the world’s massive ice sheets and ultimately lift oceans enough to drastically redraw the world map. New research published Monday suggests a complex interaction of factors affecting the melting of the West Antarctic Ice Sheet, which is home to the enormous and unstable Pine Island and Thwaites glaciers — nicknamed the “Doomsday glacier” — that together could raise global sea levels by more than three meters.","Kelly Macnamara, AFP-Jiji",2023-01-17
264,Germany's new defense minister faces pressure on tanks and army upgrade,"There will be no grace period for Germany's new defense minister who takes office as pressure is piling on Berlin to send battle tanks to Ukraine and to upgrade its dilapidated armed forces in the face of Europe's biggest conflict since World War II. Boris Pistorius, 62, will take over on Thursday, just a day before a major arms pledging conference at the U.S. military base of Ramstein in western Germany, succeeding . It will befall the outgoing Lower Saxony interior minister to explain to partners whether Berlin will deliver German-made Leopard battle tanks to Ukraine or at least allow others to do so, a decision seen as key to Kyiv's efforts to repel Russian troops. This week, Britain raised the pressure on Berlin by becoming the first Western country to send Western tanks, pledging a squadron of its Challengers, but the Leopards are seen as the best choice to supply Ukraine with a large-scale tank force. Germany's reticence has raised questions about how serious it is about the ""Zeitenwende,"" or new era of more assertive foreign policy backed by more military spending, that Chancellor Olaf Scholz announced on Feb. 27, just days after Russia's invasion of Ukraine.","Sarah Marsh, Reuters",2023-01-18
263,"Hideouts, wigs and cash: An Italian mobster's life on the run","While some mobsters flee to the tropics to escape prison, most of Italy’s mafia fugitives stay close to home, where they can continue to reign from the shadows. “Going to state prison means failure for a mafioso. The mafioso wants to die in his own bed, not behind bars,” explained Italian journalist Attilio Bolzoni, a specialist on Italy’s criminal underworld. Specialized police “hunter squadrons” tirelessly track down these fugitives, who have gone to ground in Sicily, the wilds of Sardinia or in the mountains of Calabria.","Gael Branchereau, AFP-Jiji",2023-01-18
261,"Alarmed by AI chatbots, universities start revamping how they teach","While grading essays for his world religions course last month, Antony Aumann, a professor of philosophy at Northern Michigan University, read what he said was easily “the best paper in the class.” It explored the morality of burqa bans with clean paragraphs, fitting examples and rigorous arguments. A red flag instantly went up. Aumann confronted his student over whether he had written the essay himself. The student confessed to using ChatGPT, a chatbot that delivers information, explains concepts and generates ideas in simple sentences — and, in this case, had written the paper.","Kelly Huang, The New York Times",2023-01-18
260,Pentagon sends U.S. arms stored in Israel to Ukraine,"The Pentagon is tapping into a vast but little-known stockpile of American ammunition in Israel to help meet Ukraine’s dire need for artillery shells in the war with Russia, American and Israeli officials say. The stockpile provides arms and ammunition for the Pentagon to use in Middle East conflicts. The United States has also allowed Israel to access the supplies in emergencies. The Ukraine conflict has become an artillery-driven war of attrition, with each side lobbing thousands of shells every day. Ukraine has run low on munitions for its Soviet-era weaponry and has largely shifted to firing artillery and rounds donated by the United States and other Western allies.","Eric Schmitt, Adam Entous, Ronen Bergman, John Ismay, Thomas Gibbons-Neff, The New York Times",2023-01-18
259,Boris Pistorius to be new German defense minister amid momentous change,"Chancellor Olaf Scholz on Tuesday picked little-known Boris Pistorius to be Germany’s new defense minister, putting him in charge of steering the armed forces through an era of momentous change. The appointment follows the at a crucial time for the ministry, with Germany under intense pressure to send battle tanks to Ukraine. Pistorius, 62, who is a member of Scholz’s Social Democrats and interior minister of Lower Saxony state, is a surprise choice for the post.","Femke Colborne, AFP-Jiji",2023-01-18
257,Top U.S. envoy to make long-awaited China visit on Feb. 5 and 6,"U.S. Secretary of State Antony Blinken will visit Beijing on Feb. 5 and 6, a U.S. official said Tuesday, confirming a long-awaited trip aimed at keeping high tensions in check between the world’s two largest economies. The official, speaking on condition of anonymity, said Blinken would arrive in the Chinese capital on Feb. 5 and also hold talks the following day, going ahead with the visit despite mounting concern about COVID-19 cases in China. The two sides have not given details on his itinerary but Blinken is expected to meet Foreign Minister Qin Gang, until recently China’s ambassador in Washington, and possibly President Xi Jinping.","Shaun Tandon, AFP-Jiji",2023-01-18
265,"Carbon dioxide removal efforts lagging far behind what is needed, researchers say","If there’s to be any hope of halting global temperatures from rising more than 2 degrees Celsius this century, it will require a mammoth scaling up of carbon dioxide removal (CDR) technologies to vacuum up billions of tons of the stuff from the atmosphere. But removal efforts to date have largely focused on natural climate solutions like reforestation or storing carbon dioxide in soil. To avoid the worst of a warming planet, engineered approaches that include sucking the emissions directly from the atmosphere must increase by a factor of at least 30 by 2030 and 1,300 by mid-century, researchers from a coalition including the University of Oxford and the German Institute for International and Security Affairs said in a report Thursday. “We find a gap between how much CDR countries are planning and what is needed in scenarios to meet the Paris temperature goal,’’ the authors wrote. “There are currently few plans by countries to scale CDR above current levels, exposing a substantial shortfall.’’","Sybilla Gross, Bloomberg",2023-01-19
249,Canada’s new guidelines for alcohol say ‘no amount’ is healthy,"Canadian health officials have overhauled their guidelines for alcohol consumption, warning that no amount is healthy and recommending that people reduce drinking as much as possible. The new guidelines, issued Tuesday, represent a major shift from the previous ones introduced in 2011, which recommended that women consume no more than 10 drinks per week and that men limit themselves to 15. The experts who developed the guidelines said the new approach builds on growing evidence, after decades of sometimes conflicting research, that even small amounts of alcohol can have serious health consequences.","Michael Levenson, The New York Times",2023-01-19
246,"At wartime Davos forum, calls for European unity are eased by relief","Chancellor Olaf Scholz of Germany offered a robust expression of solidarity with Ukraine at the World Economic Forum this week, a stance reflecting not only the imperative of repelling a brutal aggressor but also palpable relief that Europe has not been crippled by Russia’s war. Scholz was among several European officials who trekked to the frigid, snow-covered streets of the Alpine ski resort where the forum is held to express confidence that Europe was withstanding the sudden loss of Russian energy supplies. By diversifying rapidly into alternate energy sources and bolstering efforts to conserve, he said, the Germans had staved off the danger of homes losing heat or electricity. “I can say that our energy supply for this winter is secure,” Scholz said to a receptive audience at the annual gathering. “Thanks to well-filled storage facilities, thanks to improved energy efficiency, thanks to remarkable solidarity within Europe, and thanks to the readiness of our companies and of millions of citizens to save energy.”","Mark Landler, Eshe Nelson, The New York Times",2023-01-19
266,Ukrainian interior minister killed in helicopter crash,"A helicopter crashed in fog near a nursery outside Kyiv on Wednesday, killing 14 people, including Ukraine's interior minister, in what President Volodymyr Zelenskyy called a ""terrible tragedy,"" before calling for an investigation. The crash set off a large fire, and an entire side of the local nursery building was charred. The Kyiv region's governor said children and staff had been in the nursery at the time of the crash shortly after 8 a.m. Several bodies lay on the ground of a courtyard, their boots sticking out from under blankets, after the helicopter — described by the air force spokesperson as a French Super Puma — slammed into a building in Brovary, northeast of the capital.","Max Hunder, Tom Balmforth, Reuters",2023-01-19
267,"COVID immunity lasts at least a year after infection plus shots, study says","People who have been both previously infected and vaccinated against COVID-19 get long-lasting protection against severe disease and hospitalization, a large international study has found. The combination prevented more than 97% of severe disease or hospitalization for up to 12 months after infection or initial immunization, whichever was most recent, according to a report from the World Health Organization. Boosters conferred an additional 6 months of protection. Meanwhile, infection alone was just under 75% protective over a year. The report was based on a review of more than two dozen studies from January 2020 to June 2022 on protection afforded by hybrid immunity and by previous infection alone. The findings should be used to tailor guidance on the number and timing of COVID-19 shots, the report said.",Bloomberg,2023-01-19
245,Study reveals little-known climate cooler: atmospheric dust,"Dust tends to get a bad rap: It’s been known to turn skies orange in Europe, and routinely chokes millions with air pollution. But all that dust has an unexpected positive impact, too: It is helping keep the planet just a little bit cooler. Global temperatures are currently around 2.2 F (1.2 C) higher than 1850 levels, and heading toward 2.7 F of warming, which scientists consider catastrophic. But that 2.2 F increase would be roughly 0.1 F higher were it not for an increase in global atmospheric dust, according to a peer-reviewed study published this week in Nature Reviews Earth and Environment. “The increase in dust has likely masked some of the power of greenhouse gases to warm the planet,” says Jasper Kok, co-author of the study and a professor at the University of California, Los Angeles (UCLA). “In the future, when we’re not likely to see similar increases in dust — and might even see a decrease — greenhouse gases might warm the planet even more than climate models already predict.”","Coco Liu, Bloomberg",2023-01-20
250,U.S. hits debt ceiling as partisan standoff sparks economic worries,"The U.S. government hit its $31.4 trillion borrowing limit on Thursday, amid a standoff between the Republican-controlled House of Representatives and U.S. President Joe Biden’s Democrats on lifting the ceiling, which could lead to a fiscal crisis in a few months. U.S. Treasury Secretary Janet Yellen informed congressional leaders including House Speaker Kevin McCarthy that her department had begun using extraordinary cash management measures that could stave off default until June 5. Republicans, with a newly won House majority, aim to use the time until the Treasury’s emergency maneuvers are exhausted to exact spending cuts from Biden and the Democratic-led Senate.","David Morgan, David Lawder, REUTERS",2023-01-20
247,"Out of Nile, into tile: Young Egyptians battle plastic plague","Entrepreneurial young Egyptians are helping combat their country's huge plastic waste problem by recycling junk-food wrappers, water bottles and similar garbage that usually ends up in landfills or the Nile. At a factory on the outskirts of Cairo, run by their startup TileGreen, noisy machines gobble up huge amounts of plastic scraps of all colors, shred them and turn them into a thick liquid. The sludge — made from all kinds of plastic, even single-use shopping bags — is then molded into dark, compact bricks that are used as outdoor pavers for walkways and garages.","Bahira Amin, AFP-jiji",2023-01-20
255,Abandoned children of U.N. peacekeepers in Congo face stigma,"Chance, 16, is different from the other children in her school in eastern Congo due to her fair skin. She is one of dozens of offspring of United Nations peacekeepers, deployed in the troubled region for over 20 years, who often face stigma in their communities. Chance's mother, Faida, said she had met a Uruguayan peacekeeper in 2006 while working as a cleaner at a U.N. base in Kavumu, a settlement in the militia-plagued South Kivu province.","Ricky Ombeni, AFP-JIJI",2023-01-21
254,The NATO alliance is holding strong on Ukraine. But fractures are emerging.,"The billions of dollars in new arms for Ukraine announced this month — , American fighting vehicles, and howitzers from Denmark and Sweden — are testament to Russian President Vladimir Putin’s failure to split the NATO allies after nearly a year of war. But small yet significant fractures are getting too big to hide. The differences are over strategy for the coming year and the more immediate question of what Ukraine needs in the next few months, as both sides in the war prepare for major offensives in the spring. And although most of those debates take place behind closed doors, Britain’s impatience with the current pace of aid and to Ukraine broke out into public view this week. When the new British foreign secretary, James Cleverly, visited Washington this week, he gathered reporters for lunch and made the case that it is possible for Ukraine to score a “victory” in the war this year if the allies move fast to exploit Russia’s weaknesses. Officials in Poland, the Baltic States and Finland have largely agreed with the British assessment.","David E. Sanger, Eric Schmitt, The New York Times",2023-01-21
253,Horror of station massacre hangs heavy over Ukraine's Kramatorsk,"A rocket strike on Kramatorsk’s railway station in April last year, which killed dozens, is rarely spoken about in the city near the front lines in eastern Ukraine. Despite widespread silence over the brutal attack — one of the deadliest of the war — it has left an indelible mark on survivors and witnesses. Over nine months on, there are few signs at the small, red brick building of the events that shook the local community, which has barely had time to heal and reflect as the war rages on.","Cecile Feuillatre, AFP-JIJI",2023-01-21
251,Allies fail to agree on heavy tanks sought by Ukraine,"Ukrainian President Volodymyr Zelenskyy said Friday there was ""no alternative"" but for the West to give Ukraine heavy tanks, as Germany failed to commit its sought-after Leopard vehicles to a possible spring offensive by Kyiv. A U.S.-led meeting of some 50 Ukraine allies came through with billions of dollars' worth of military hardware, including ample armored vehicles and munitions needed to push back Russian forces. But Zelenskyy stressed he needed battle tanks on top of that, as U.S. Secretary of Defense Lloyd Austin said Ukraine was expected to mount an attack against dug-in Russian troops in the coming weeks.",AFP-JIJI,2023-01-21
252,Western military aid girds Kyiv for counterattacks despite tank deadlock,"Billions of dollars in new Western military aid, including infantry fighting vehicles — though no German tanks — will gird Ukraine for counterattacks to foil Moscow’s efforts to revive its faltering invasion. But Kyiv needs other weapons systems to win decisively and, while Russia is readying for a protracted war, it is unclear if defense production — in Europe at least — can ensure the continued flow of military aid, military analysts said. The United States and Finland announced new packages of $2.5 billion and €400 million (about $430 million) in military aid ahead of Friday’s Ramstein Air Base talks, which failed to break the deadlock on the idea of supplying German-built Leopard tanks to Ukraine.","Tom Balmforth, Reuters",2023-01-21
248,White House says Biden won’t negotiate in debt talks with new Republican House speaker,"U.S. President Joe Biden “looks forward” to meeting with Kevin McCarthy, the new Republican House speaker, to discuss a variety of issues, but negotiation on raising the U.S. debt limit is off the table, the White House said Friday night. “Like the president has said many times, raising the debt ceiling is not a negotiation; it is an obligation of this country and its leaders to avoid economic chaos,” White House press secretary Karine Jean-Pierre said in a statement, which did not provide a date for the meeting. “Congress has always done it, and the president expects them to do their duty once again. That is not negotiable,” Jean-Pierre added.",BLOOMBERG,2023-01-21
244,"Amid mounting frustration with Germany, Ukraine holds out hope it will get tanks","Pressure grew on Germany on Saturday to authorize the transfer of Leopard 2 battle tanks to Ukraine, even as Ukrainian officials signaled that they believed it would be only a matter of time before the German-made tanks arrived. The pressure was coming from several quarters. In a joint statement on Twitter, the foreign ministers of Estonia, Latvia and Lithuania urged Germany to “provide Leopard tanks to Ukraine now.” They added: “This is needed to stop Russian aggression, help Ukraine and restore peace in Europe quickly. Germany as the leading European power has special responsibility in this regard.”","Cassandra Vinograd, THE NEW YORK TIMES",2023-01-22
243,'Not broken by war': Ukraine holds funeral for minister killed in crash,"The seven coffins were hoisted into the echoing hall in central Kyiv on Saturday by military pallbearers in full ceremonial dress, to the sound of a lone trumpet and army-style snare drum. Mourners in black and clutching roses had earlier gathered near Maidan square in Ukraine’s capital to pay final respects to interior minister earlier this week. “They were not broken by the war, and they did not allow others to be broken,” the eulogist and moderator of the ceremony told the hundreds of mourners that included senior government officials.","Elizabeth Striy, AFP-JIJI",2023-01-22
242,Canada settles $2 billion suit over ‘cultural genocide’ at residential schools,"Canada said Saturday that it had agreed to pay 2.8 billion Canadian dollars, about $2 billion, to settle the latest in a series of lawsuits seeking reparations for the harm done to Indigenous people through a system of mandatory residential schools that a national commission called “cultural genocide.” The new settlement, which must still be approved by a court, resolves a class action brought in 2012 by 325 First Nations that sought compensation for the erosion of their cultures and languages. Thousands of Indigenous students educated at about 130 residential schools from the 19th century through the 1990s were forbidden, sometimes through coercive violence, from speaking their ancestral languages and practicing their traditions.","Ian Austen, The New York Times",2023-01-22
241,More classified documents found in search of Biden home,"A new search of President Joe Biden’s home in Wilmington, Delaware, on Friday by the U.S. Justice Department found six more items, a lawyer for the president said in a statement Saturday night. Some of the classified documents and “surrounding materials” dated from Biden’s tenure in the U.S. Senate, where he represented Delaware from 1973 to 2009, according to his lawyer, Bob Bauer. Other documents were from his tenure as vice president in the Obama administration, from 2009 through 2017, Bauer said. The Department of Justice, which conducted a search that lasted over 12 hours, also took some notes that Biden had personally handwritten as vice president, according to the lawyer.",REUTERS,2023-01-22
232,Germany beat Putin’s energy squeeze. But for how long?,"Germany looks set to survive this winter without the Russian gas it used to depend on. The question now is whether it can plug the gap in coming winters, too — and at what price. Europe’s largest economy hasn’t received Russian deliveries since September but is unlikely to face gas shortages in coming months — an impressive feat considering that, before the invasion of Ukraine, Germany depended on Moscow for 52% of its imports. Rescue from potential rationing and forced blackouts came in the forms of liquefied natural gas, piped shipments from Norway and the Netherlands and an old favorite: coal.","Petra Sorge, Anna Shiryaevskaya, Bloomberg",2023-01-22
237,U.S. abortion rights 'war' rages on 50 years after now-defunct ruling,"The fight for abortion rights “isn’t over,” U.S. President Joe Biden said Sunday, 50 years after a landmark Supreme Court ruling had guaranteed that right, before the court reversed itself last June. “Today should’ve been the 50th Anniversary of Roe v. Wade,” the Democratic president said on Twitter, referring to the original ruling. “Instead, MAGA Republican officials” — supporters of former President Donald Trump, with his Make America Great Again slogan — “are waging a war on women’s right to make their own health care decisions.”",AFP-JIJI,2023-01-23
233,Latin American cocaine cartels bring violence to Europe,"""Seventy euros for one, 120 for two,"" said the cocaine dealer as the young woman opened her door on Paris' chic Left Bank. ""I'm like all the delivery riders speeding around Paris dropping off sushi and groceries,"" he smiled. ""I get orders and I deliver them."" Getting cocaine in many of Europe's big cities is now as easy as ordering a pizza.","Laetitia Drevet, Arthur Connan, Philippe Alfroy, Julie Capelle, David Salazar, AFP-Jiji",2023-01-23
234,California standoff ends after Lunar New Year mass shooting leaves 10 dead,"The gunman believed to have killed 10 people during Lunar New Year celebrations in California shot himself dead as police moved in to arrest him, the local sheriff said Sunday. An intensive manhunt began late Saturday after a man opened fire inside a dance studio and club in Monterey Park, a city near Los Angeles with a large Asian community. Witnesses said he had shot indiscriminately, and appeared to have a lot of ammunition.",AFP-JIJI,2023-01-23
240,Germany's top diplomat says Berlin would not block Poland from sending tanks to Ukraine,"Germany's foreign minister said Sunday her government would not stand in the way if Poland wants to in a possible breakthrough for Kyiv, which wants the tanks for its fight against Russia's invasion. Ukrainian officials have been calling on Western allies to supply them with the modern German-made tanks for months — but Berlin has so far held back from sending them, or allowing other NATO countries to do so. Asked what would happen if Poland went ahead and sent its Leopard 2 tanks without German approval, Annalena Baerbock said on France's LCI TV: ""For the moment the question has not been asked, but if we were asked we would not stand in the way.""",REUTERS,2023-01-23
236,Biden expected to name COVID czar Jeff Zients as new chief of staff,"U.S. President Joe Biden is set to name Jeff Zients as his next White House chief of staff Monday, according to people familiar with the matter, elevating the administration’s former COVID-19 czar to one of the highest-profile roles in Washington. Zients, 56, a former business executive who was one of the chief architects of Biden’s initial COVID-19 team, will replace Ron Klain, who is leaving the post in coming weeks, the people said. Klain will stay on at least through Biden’s Feb. 7 State on the Union address, according to the people. The White House chief of staff is among the most powerful figures in Washington, and plays a crucial role in shaping the president’s agenda, liaising with Congress and acting as a gatekeeper.",BLOOMBERG,2023-01-23
238,"Despite crackdown, Iran protesters still challenging regime","Despite a slackening of street activity in the face of a brutal crackdown, Iranian protesters are still challenging the Islamic theocratic regime four months into their movement, observers say. There have been fewer daily street protests nationwide since November as the authorities seek to quell the protests with methods including capital punishment, which has already seen four protest-related executions. But the anger unleashed by the death in mid-September of Mahsa Amini, who had been arrested for violating the Islamic Republic’s strict dress rules, has not subsided and at a time of economic crisis still poses a potential threat to the Iranian regime.",AFP-JIJI,2023-01-23
239,How Europe needs freight trains to cross Russia from China,"Giving Ukraine modern tanks remains a key question facing Kyiv’s allies, but perhaps the most exposed link in supply chains for producing such weapons runs on train tracks through the foe they’re trying to defeat. Russia is at the center of a rail cargo route supplying Western arms manufacturers with a steady supply of metals needed to make the microchips, electronics and ammunition used in modern weaponry. Most of the so-called rare earth elements are mined in China. Russian Railways JSC and other carriers are hauling a rising volume of critical metals needed for Europe’s defense industry. The volume of Chinese rare earth metals shipped on trains across Russia surged to 36,074 tons in the first nine months last year, more than double the amount transported in all of 2021, according to European Union data seen by Bloomberg News. The value of that trade rose by more than fourth-fifths, to €377 million ($408 million) through September.","Jonathan Tirone, Alberto Nardelli, Bloomberg, Reuters",2023-01-23
235,France and Germany seek to relaunch ties despite Ukraine strains,"German Chancellor Olaf Scholz and French President Emmanuel Macron on Sunday sought to underline the importance of their nations’ postwar alliance, despite strains created by Russia’s invasion of Ukraine. With pressure growing on Berlin to supply Ukraine with highly regarded German Leopard tanks, Scholz stopped short of any pledge, instead insisting all allies must work together. But Macron, whose country is already sending light tanks to Ukraine, made clear “nothing is excluded” regarding the possible delivery of French-made Leclerc heavy tanks.",AFP-JIJI,2023-01-23
222,How long can a healthy human live?,"The death of the world’s oldest person at the age of 118 has reignited a debate that has divided scientists for centuries: Is there a limit on how long a healthy human can live? After French nun Lucile Randon died last week, Spanish great-grandmother Maria Branyas Morera, 115, has assumed the title of the oldest living person, according to Guinness World Records. Back in the 18th century, French naturalist Georges-Louis Leclerc, known as the Comte de Buffon, theorized that a person who had not suffered an accident or illness could live for a theoretical maximum of 100 years.","Isabelle Tourne, AFP-JIJI",2023-01-24
223,New shootings rock California as police probe Lunar New Year killings,"Seven people were killed as two new shootings rocked California on Monday, less than 48 hours after a 72-year-old man shot dead 11 people at a Lunar New Year celebration in a Los Angeles area dance hall. The latest bloodshed occurred at adjacent farms near Half Moon Bay, a Pacific coastal community near San Francisco. Briefing the media, San Mateo County Sheriff Christina Corpus said seven people were killed and one injured in the twin shootings, and that a 67-year-old Half Moon Bay resident named Zhao Chunli had been taken into custody.",AFP-JIJI,2023-01-24
225,How three dust specks reveal an asteroid's secrets,"The specks are tiny. No, really tiny. Smaller than the diameter of a hair. But they hold billions of years of history that reveal some of the secrets of asteroids. The three minute particles from an asteroid called Itokawa show some of these space rocks are vastly older than was thought, and are much tougher. And that could mean we need bolder ways to prevent catastrophic collisions with Earth, according to research published Tuesday.","Sara Hussein, AFP-JIJI",2023-01-24
224,"Earth's inner core may have started spinning other way, study says","Far below our feet, a giant may have started moving against us. Earth’s inner core, a hot iron ball the size of Pluto, has stopped spinning in the same direction as the rest of the planet and might even be rotating the other way, research suggested Monday. Roughly 5,000 kilometers (3,100 miles) below the surface we live on, this “planet within the planet” can spin independently because it floats in the liquid metal outer core.",AFP-JIJI,2023-01-24
221,Even Democrats are now critical of Biden over documents mess,"U.S. President Joe Biden had hoped to put the mishandling of sensitive government files behind him. Instead, the emergence of another batch of classified material now Rather than close ranks, Democratic allies responded with exasperation and growing concern to news over the weekend that It’s the second such discovery since his lawyers declared the search had concluded. Biden should be “embarrassed by the situation,” Senate Majority Whip Dick Durbin said Sunday on CNN’s “State of the Union.”","Jordan Fabian, Jennifer Jacobs, BLOOMBERG",2023-01-24
226,Ukraine pledges sweeping personnel changes as allies jostle over tanks,"Ukrainian President Volodymyr Zelenskyy said personnel changes were being carried out at senior and lower levels, a move that follows the most high-profile graft allegations since Russia’s invasion nearly a year ago. Ukraine has a long history of corruption and shaky governance. On Sunday, anti-corruption police said they had detained the deputy infrastructure minister on suspicion of receiving a $400,000 kickback over the import of generators last September, an allegation the minister denies.",REUTERS,2023-01-24
228,Life's no longer rosy at Senegal's pink lake after floods,"On the shore of Senegal's Pink Lake, salt farmer Pape Sira Ba has raked in what he fears may be his last harvest. Extreme floods contaminated the 3-square-km lake five months ago, turning its famous waters green and threatening thousands of people who depend on it for their livelihoods. Officially known as Lake Retba, the lake's high salinity and rare microbiome long-fostered an algae that turned it a pinkish color, making it one of the West African country's most visited attractions and under consideration as a UNESCO World Heritage site.",REUTERS,2023-01-25
227,"U.S. and Germany set to send tanks to Ukraine, breaking deadlock","The U.S. and Germany are poised to announce they’ll provide their main battle tanks to Ukraine, offering Kyiv a powerful new weapon to counter Russia and overcoming a disagreement that threatened to fracture allied unity. The administration of U.S. President Joe Biden is expected to announce as soon as Wednesday it will offer Ukraine the M1 Abrams tank, dropping an argument that the vehicle guzzles too much gas and is difficult to operate, two people familiar with the matter said. Germany, which had insisted it didn’t want to be the only one to offer such tanks, will send 14 Leopard 2 A6’s, a person familiar with the decision said on condition of anonymity. The move will give Ukrainian President Volodymyr Zelenskyy’s forces access to a significant new capability as the fighting in Ukraine shifts from urban centers to the east, where Russian forces have been dug in since invading on Feb. 24. The hope is that the tanks will allow Ukraine to punch through the Russian lines and blunt a spring offensive that officials fear Russia may be planning.","Jenny Leonard, Michael Nienaber, Tony Capaccio, Bloomberg",2023-01-25
